"";"spatial_code";"spatial_name";"spatial_type";"spatial_date";"temporal_date";"temporal_type";"measure";"value"
"103";"GK13";"De Pijp, Rivierenbuurt";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";0,51
"104";"GK13";"De Pijp, Rivierenbuurt";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";1,29
"105";"GM14";"Oud-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";20,18
"106";"GM14";"Oud-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";38,13
"107";"GM14";"Oud-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";4,1
"108";"GM14";"Oud-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";37,6
"109";"GM14";"Oud-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";75
"110";"GM14";"Oud-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";20
"111";"GM14";"Oud-Oost";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";0,75
"112";"GM14";"Oud-Oost";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";4,24
"113";"GM15";"Indische Buurt, Oostelijk Havengebied";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";16,34
"114";"GM15";"Indische Buurt, Oostelijk Havengebied";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";39,07
"115";"GM15";"Indische Buurt, Oostelijk Havengebied";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";7,61
"116";"GM15";"Indische Buurt, Oostelijk Havengebied";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";36,97
"117";"GM15";"Indische Buurt, Oostelijk Havengebied";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";81,31
"118";"GM15";"Indische Buurt, Oostelijk Havengebied";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";16,31
"119";"GM15";"Indische Buurt, Oostelijk Havengebied";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";0
"120";"GM15";"Indische Buurt, Oostelijk Havengebied";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";2,39
"121";"GM16";"Watergraafsmeer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";14,92
"122";"GM16";"Watergraafsmeer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";40,03
"123";"GM16";"Watergraafsmeer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";7,85
"124";"GM16";"Watergraafsmeer";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";37,18
"125";"GM16";"Watergraafsmeer";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";49,98
"126";"GM16";"Watergraafsmeer";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";41,77
"127";"GM16";"Watergraafsmeer";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDNL_P";3,98
"128";"GM16";"Watergraafsmeer";"gebieden";"20220324";"20240101";"peildatum";"EDG_BINDONLINE_P";4,27
"129";"GM17";"IJburg, Zeeburgereiland";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDGEB_P";8,76
"130";"GM17";"IJburg, Zeeburgereiland";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDAMS_P";35,7
"131";"GM17";"IJburg, Zeeburgereiland";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDNL_P";11,46
"132";"GM17";"IJburg, Zeeburgereiland";"gebieden";"20220324";"20240101";"peildatum";"BHNDG_BINDONLINE_P";44,06
"133";"GM17";"IJburg, Zeeburgereiland";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDGEB_P";58,73
"134";"GM17";"IJburg, Zeeburgereiland";"gebieden";"20220324";"20240101";"peildatum";"BHDG_BINDAMS_P";22,11
